name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lubbock,2024-04-03,24.9,1.7,13.2,24.9,-2.3,11.9,-4.1,35,0,0,0,,0,0,40.7,27.6,298.5,1015.6,5.6,16,301.1,26,10,10,2024-04-03T07:31:27,2024-04-03T20:10:00,0.83,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-04-04,28.3,5.6,18.4,26.9,3.2,17.7,-2.9,29.8,0,0,0,,0,0,46.1,24.1,211.6,1011.8,5.6,16,306.5,26.5,10,10,2024-04-04T07:30:08,2024-04-04T20:10:45,0.86,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-04-05,28.3,14.9,21.4,26.9,14.9,21,-5.8,16.3,0,0,0,,0,0,69.5,44.6,182.8,1008.6,43.1,16,300.4,25.8,10,10,2024-04-05T07:28:49,2024-04-05T20:11:29,0.89,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-04-06,22.8,11.7,17.5,22.8,11.7,17.5,-2.8,28.1,0,0,0,,0,0,103.1,63,258,1004.3,20.6,15.3,294.9,25.7,9,10,2024-04-06T07:27:31,2024-04-06T20:12:14,0.93,Partially cloudy,Partly cloudy throughout the day.,wind,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-04-07,24.3,7.8,15.3,24.3,3.8,14,-12.5,14.8,0,0,0,,0,0,84.9,51.8,266.1,1008.7,15.7,16,314,27.1,10,10,2024-04-07T07:26:13,2024-04-07T20:12:58,0.96,Clear,Clear conditions throughout the day.,wind,"KLBB,KPVW,72267023042,E3644"
Lubbock,2024-04-08,21.7,2.8,13.2,21.7,-0.5,12.3,-5.9,27.3,0.298,100,4.17,rain,0,0,42.5,29.5,42.4,1008.5,80.2,16,202.2,17.5,8,10,2024-04-08T07:24:56,2024-04-08T20:13:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLBB,KPVW,72267023042,E3644"
Lubbock,2024-04-09,11.7,6.7,8.6,11.7,1,5.3,4.6,77.9,17.556,100,54.17,rain,0,0,76.6,51.8,17.6,1009.6,87.6,14.2,53,4.4,3,10,2024-04-09T07:23:39,2024-04-09T20:14:27,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KLBB,KPVW,72267023042,E3644"
Lubbock,2024-04-10,19.3,6.7,12,19.3,1.5,10.2,4.5,63.7,0.002,100,4.17,rain,0,0,59.2,40.6,346.9,1013.2,56,16,290.1,24.9,10,10,2024-04-10T07:22:22,2024-04-10T20:15:12,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KLBB,KPVW,72267023042,E3644"
Lubbock,2024-04-11,21.1,6.1,12.9,21.1,3,11.9,3.5,56.6,0,0,0,,0,0,29.5,22.3,63.9,1018.4,4.5,16,310.8,26.9,10,10,2024-04-11T07:21:06,2024-04-11T20:15:57,0.1,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,E3644"
Lubbock,2024-04-12,28.8,7.2,18.2,27.2,4.8,17.4,1.8,41.1,0,0,0,,0,0,57.2,38.8,180.9,1017.2,55.1,16,305.4,26.2,10,10,2024-04-12T07:19:51,2024-04-12T20:16:41,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,E3644"
